complete_video_IDs,video_titles
https://www.youtube.com/watch?v=4q1_Min37N0,घेवर_रेसिपी-खास_टिप्स_के_साथ_।_How_to_make_Ghevar_at_home।_Rajasthani_Malai_Ghevar_banane_ki_vidhi
https://www.youtube.com/watch?v=4EELIfY-Eq4,मिल्क_पाउडर_पेडा-आसान_विधि_।_Instant_Doodh_Peda_Recipe_with_Milk_Powder_
https://www.youtube.com/watch?v=7_BUecw3zAg,पूर्वांचल_की_चटपटी_पालक_की_सकौड़ा_चाट_।_Spicy_Palak_Sakauda_Chaat_Recipe_
https://www.youtube.com/watch?v=_lhzOR-u7qs,चॉकलेट_बनाना_केक_।_Eggless_Chocolate_Banana_Cake_in_Cooker_or_Kadai_
https://www.youtube.com/watch?v=N3rp8fE4zKU,मलाई_फिलिंग_वाली_कुरकुरी_सेमिया।_Crispy_Malai_Layered_Vermicelli_।_Crunchy__Nawabi_Semiya_with_Malai
https://www.youtube.com/watch?v=ztph5SziNxw,नमकीन_खस्ता_मठरी_।_Crispy_Mixed_flour_mathri_with_Atta-Sooji_
https://www.youtube.com/watch?v=HgJGMD8offw,आलू_की_कुरकुरी_टिक्की-बरसाती_मौसम_के_लिये_।_Street_Style_Crispy_Aloo_Tikki_Chaat_
https://www.youtube.com/watch?v=hjs2zSUJ2LU,वेज_तवा_पुलाव_-_मुम्बई_का_फेमस_स्ट्रीट_फूड_।_Instant_Tawa_pulao_recipe_।_Mumbai_Style_Veg_Tawa_Rice
https://www.youtube.com/watch?v=kJXqmrj-CTI,करोंदा_का_गुणकारी_और_बेहद_स्वादिष्ट_जैम_।_Carrissa_Carandas_Jam_Recipe_
https://www.youtube.com/watch?v=sVdAFUgkmng,सावन_में_आटे_से_बनने_वाला__राजस्थानी_मगद_चूरमा_।_Rajasthani_Kasar_Recipe_
https://www.youtube.com/watch?v=auiM_HcJcCU,गोभी_कोफ्ता_करी-रिच_गेवी_वाली_।_Cauliflower_Kofta_Curry
https://www.youtube.com/watch?v=sDjThd_UuFo,"आटा-चनादाल_से_बना_नाश्ता-भकोसा,गोझा,पनगोझा,_दाल_फरा_।_Traditional_Snacks_Bhakose,_Pangojha,_dal_fara"
https://www.youtube.com/watch?v=va1TtgdY2AM,"पनीर_काली_मिर्च,_क्रीमी_ग्रेवी_में_मलाई_जैसा_पनीर_।_Paneer_Kali_Mirch_Makhani_in_white_gravy"
https://www.youtube.com/watch?v=0wfE4Lxtip4,क्रिस्पी_और_चटपटे_आलू_65_रेसीपी_।_Crispy_Potato_65_Recipe_
https://www.youtube.com/watch?v=GqzxYxLy2IA,करोंदा_मिर्च_का_अचार-इस_मौसम_के_लिये_खास_पिकल_।_Karonda_Chilli_Pickle_Recipe_।_Green_Karonda_Pickle
https://www.youtube.com/watch?v=10FzWx1fkL4,दाबेली_रेसीपी_-_दाबेली_मसाला_व_चटनी_के_साथ।_Street_Style_Kutchhi_Dabeli_Recipe_with_Masala_n_Chutney
https://www.youtube.com/watch?v=EePkIU7dfBk,"लच्छा_रबडी_बनायें,_वो_भी_मिनटों_में_।_Instant_Rabdi_Recipe_"
https://www.youtube.com/watch?v=suIe8jVUfOk,"भरवां_मसाला_परवल,_एसा_स्वाद_जो_खाने_के_भी_बाद_याद_रहे_।_Besan_Stuffed_Parwal_"
https://www.youtube.com/watch?v=ttn3urVqsgE,शेज़वान_फ्राइड_राइस_-_झटपट_बनाईये_।_Veg_Schezwan_Fried_Rice_Street_Food_Style_
